STATUS,A-SIDE LOCODE,A-LOC:CAB:RU,A-SIDE-DNS-NAME,A-MODEL,A-PORT,"A-BREAKOUT
LOC:CAB:RU","A-BREAKOUT
SLOT:PORT",A-OPTIC,"A-PATCH-PANEL
LOC:CAB:RU:PORT",Z-SIDE LOCODE,Z-LOC:CAB:RU,Z-SIDE-DNS-NAME,Z-MODEL,Z-PORT,"Z-BREAKOUT
LOC:CAB:RU","Z-BREAKOUT
SLOT:PORT","Z-PATCH-PANEL
LOC:CAB:RU:PORT",Z-OPTIC,CABLE,IPv4-VRF-DEFAULT-10,IPv6-VRF-DEFAULT-10,IPv4-VRF-MGMT-20,IPv6-VRF-MGMT-20,IPv4-VRF-IPMI-30,IPv6-VRF-IPMI-30,IPv4-VRF-IPMI-31,IPv6-VRF-IPMI-31,IPv4-VRF-TSS-40,IPv6-VRF-TSS-40,IPv4-VRF-PUB-90,IPv6-VRF-PUB-90,IPv4-TNT-MSFT-101,IPv6-TNT-MSFT-101
C160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OOB-FIREWALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,PA-1420,eth1/21,,,SFP-BASE-10G-LR,,US-PHX01,,OOB DIA,,,,,,SFP-BASE-10G-LR,LC-TO-LC SMF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:22,con-01-c160-r001-us-west-02b,OM2216-C14,3,,,,,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,console,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:22,con-01-c160-r001-us-west-02b,OM2216-C14,4,,,,,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,pa-1420,console,,,,,CAT6a,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:001:22,con-01-c160-r001-us-west-02b,OM2216-C14,5,,,,,US-PHX01,c160:001:38,dcr1-us-west-02b,NOKIA-7750-SR-1x48,console,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp1,,,,,US-PHX01,c160:001:28,dsr1-us-west-02b,NOKIA-7750-SR-1se,mgmt,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp2,,,,,US-PHX01,c160:001:22,con-01-c160-r001-us-west-02b,OM2216-C14,NET1,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp3,,,,,US-PHX01,c160:002:20,net-01-c160-r002-us-west-02b,SN2201,mgmt,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp4,,,,,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,mgmt,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp5,,,,,US-PHX01,c160:001:10,oob-fw-01-r001-us-west-02b,pa-1420,mgmt,,,,,CAT6a,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp6,,,,,US-PHX01,c160:001:8,fip1-us-west-02b,NET-6X100G-01,ipmi,,,,,CAT6a,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp7,,,,,US-PHX01,c160:001:38,dcr1-us-west-02b,NOKIA-7750-SR-1x48,mgmt,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp31,,,QSFP28-100G-DR1,,US-PHX01,c160:002:18,mgmt-core-02a-r002-us-west-02b,SN4700,swp31,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp32,,,QSFP28-100G-DR1,,US-PHX01,c160:002:18,mgmt-core-02a-r002-us-west-02b,SN4700,swp32,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp1,,,QSFP28-100G-DR1,,US-PHX01,c160:001:20,net-01-c160-r001-us-west-02b,SN2201,swp49,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp2,,,QSFP28-100G-DR1,,US-PHX01,c160:002:20,net-01-c160-r002-us-west-02b,SN2201,swp49,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp3,,,QSFP28-100G-DR1,,US-PHX01,c160:001:8,fip1-us-west-02b,NET-6X100G-01,enp199s0f0np0,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp4,,,QSFP28-100G-DR1,,US-PHX01,c160:002:8,fip2-us-west-02b,NET-6X100G-01,enp199s0f0np0,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c13,c160:002:26,1:1:1,QSFPDD-400G-DR4,,US-PHX01,c160:001:18,mgmt-core-01a-r001-us-west-02b,SN3700,swp26,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c13,c160:002:26,1:1:2,QSFPDD-400G-DR4,,US-PHX01,c160:002:18,mgmt-core-02a-r002-us-west-02b,SN3700,swp26,,,,QSFP28-100G-DR1,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c15,c160:002:26,1:3:1,QSFPDD-400G-DR4,,US-PHX01,c160:001:8,fip1-us-west-02b,NET-6X100G-01,enp67s0f0np0,,,,QSFP28-100G-DR1-LOW-PWR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c15,c160:002:26,1:3:2,QSFPDD-400G-DR4,,US-PHX01,c160:002:8,fip2-us-west-02b,NET-6X100G-01,enp67s0f0np0,,,,QSFP28-100G-DR1-LOW-PWR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c16,c160:002:26,1:4:1,QSFPDD-400G-DR4,,US-PHX01,c160:001:8,fip1-us-west-02b,NET-6X100G-01,enp67s0f1np1,,,,QSFP28-100G-DR1-LOW-PWR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c16,c160:002:26,1:4:2,QSFPDD-400G-DR4,,US-PHX01,c160:002:8,fip2-us-west-02b,NET-6X100G-01,enp67s0f1np1,,,,QSFP28-100G-DR1-LOW-PWR,LC-TO-LC SMF,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c19,,,QSFPDD-400G-DR4,,US-PHX01,c160:001:38,dcr1-us-west-02b,NOKIA-7750-SR-1x48,1/1/c44,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c20,,,QSFPDD-400G-DR4,,US-PHX01,c160:002:38,dcr2-us-west-02b,NOKIA-7750-SR-1x48,1/1/c44,,,,,,,,,,,,,,,,,,,
Human Verified,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c31,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,Lumen 448332561 (US-LAX01),A3,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c32,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,US-LAX01 Zayo OQYX/416137//ZYO,A9,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c33,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,US-LAS02 Lumen 448332543,A10,,,,,,,,,,,,,,,,,,,
Cable Not Run,US-PHX01,c160:002:28,dsr2-us-west-02b,7750-SR-1SE,1/1/c34,,,QSFP28-100G-LR4,,US-PHX01,c160:026:38,pp-ru-38-c160-r026-us-west-02b,US-LAS02 Zayo OQYX/415983//ZYO,A11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cable Is Ran: Complete,US-PHX01,c160:002:22,con-01-c160-r002-us-west-02b,OM2216-C14,1,,,,,US-PHX01,c160:002:28,dsr2-us-west-02b,NOKIA-7750-SR-1se,console,,,,,,,,,,,,,,,,,,,
